Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2010-06-17,248.24913024902344,249.9506000323825,245.65875051855105,249.25025271911466,5639240
2010-06-18,250.16619873046875,252.75208591187996,243.13135364806573,243.13135364806573,8356232
2010-06-21,251.47698974609375,253.09316574456378,250.61951420719197,251.35127401596102,7164752
2010-06-22,248.4512176513672,251.34686706283705,247.8137170746323,250.50734443413918,4763688
2010-06-23,251.2032012939453,251.84966748411065,244.0291824388569,246.65546914705024,4948088
2010-06-24,253.4433135986328,254.4309766509624,249.88324600105122,252.69807254771735,12316104
2010-06-25,249.40286254882812,252.4780860043686,248.80129037379965,252.30300467353914,3345664
2010-06-28,252.2132568359375,252.93155731820434,248.71154198488676,248.71154198488676,3834168
2010-06-29,250.8260498046875,252.62629481839662,248.45117315883994,250.78115602340193,3773072
2010-06-30,250.5970458984375,252.1817873487204,245.29958057847767,249.42980777709042,9449976
2010-07-01,248.4466552734375,250.59706280406186,247.005560649937,250.59706280406186,5847248
2010-07-02,244.8955841064453,249.15599969143474,243.86302710654647,249.15599969143474,11169440
2010-07-05,246.3276824951172,247.09537053409616,244.22216855114155,245.12004417081488,3616720
2010-07-06,250.0674285888672,251.31546733607885,246.28736223753637,246.28736223753637,5872600
2010-07-07,249.76654052734375,251.36925721276725,248.28055205197415,251.36925721276725,5923392
2010-07-08,253.9640655517578,255.5712538042585,251.41410809710283,251.94384583285571,6278192
2010-07-09,258.0315246582031,258.6330969967934,254.82611277338577,254.82611277338577,7859112
2010-07-12,260.0157775878906,261.28179091010105,255.8945374892742,255.89903125128296,8597240
2010-07-13,251.1134490966797,258.14382196721476,249.69929451608698,257.6903902413411,25502384
2010-07-14,246.2783203125,252.2132875380132,245.74858241065937,250.50282992224209,14193928
2010-07-15,247.7777557373047,249.25026293155233,246.0179108186071,246.82150508475064,8328136
